url,week_of,severity,event_count,event_types,max_magnitude,has_pathway_change,has_score_change,has_copy_change,has_layout_change,has_dom_restructure,summary,implications_for_user
https://www.theguardian.com/,2026-06-06,D,4,copy_change|dom_restructure|layout_change|pathway_change,1.00,true,false,true,true,true,Detected 4 consent-interface change(s): pathway_change (magnitude 1.00): Layer-1 pathway availability changed.; layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.97): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,User-visible consent choices or audit tier changed; inspect evidence before paper coding.
https://www.cnn.com/,2026-06-06,C,3,copy_change|dom_restructure|layout_change,1.00,false,false,true,true,true,Detected 3 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.77): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
https://www.booking.com/,2026-06-06,C,3,copy_change|dom_restructure|layout_change,1.00,false,false,true,true,true,Detected 3 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.02): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
https://www.nerdwallet.com/,2026-06-06,C,3,copy_change|dom_restructure|layout_change,1.00,false,false,true,true,true,Detected 3 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.26): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
https://www.coca-cola.com/us/en,2026-06-06,D,5,copy_change|dom_restructure|layout_change|pathway_change|score_change,1.00,true,true,true,true,true,Detected 5 consent-interface change(s): pathway_change (magnitude 1.00): Layer-1 pathway availability changed.; layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.38): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.; score_change (magnitude 1.00): Audit tier or layer score category changed.,User-visible consent choices or audit tier changed; inspect evidence before paper coding.
https://www.coca-cola.com/us/en,2026-05-29,A,0,,0.00,false,false,false,false,false,No detected consent-interface changes for this observation window.,No follow-up is required beyond the next scheduled capture.
https://www.nerdwallet.com/,2026-05-29,C,3,copy_change|dom_restructure|layout_change,1.00,false,false,true,true,true,Detected 3 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.01): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
https://www.booking.com/,2026-05-29,C,2,dom_restructure|layout_change,1.00,false,false,false,true,true,Detected 2 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
https://www.cnn.com/,2026-05-29,C,3,copy_change|dom_restructure|layout_change,1.00,false,false,true,true,true,Detected 3 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.32): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
https://www.theguardian.com/,2026-05-29,B,1,copy_change,0.21,false,false,true,false,false,Detected 1 consent-interface change(s): copy_change (magnitude 0.21): Visible consent-interface text changed.,Consent copy changed; review visible text before coding longitudinal patterns.
https://www.chase.com/,2026-05-29,C,3,copy_change|dom_restructure|layout_change,1.00,false,false,true,true,true,Detected 3 consent-interface change(s): layout_change (magnitude 1.00): Perceptual screenshot fingerprint changed.; copy_change (magnitude 0.00): Visible consent-interface text changed.; dom_restructure (magnitude 1.00): DOM fingerprint changed together with layout.,Interface structure or layout changed; review screenshots before comparing scores.
